Word,Rank,Band,SFI,U
attendant,265,2,58.30,68
bitter,266,2,58.30,68
dove,267,2,58.30,68
evildoer,268,2,58.30,68
survivor,269,2,58.30,68
tablet,270,2,58.30,68
virgin,271,2,58.30,68
wheat,272,2,58.30,68
behalf,273,2,58.20,66
cave,274,2,58.20,66
flame,275,2,58.20,66
foolish,276,2,58.20,66
impure,277,2,58.20,66
lightning,278,2,58.20,66
locust,279,2,58.20,66
naked,280,2,58.20,66
plead,281,2,58.20,66
portico,282,2,58.20,66
rage,283,2,58.20,66
aroma,284,2,58.10,65
pity,285,2,58.10,65
groan,286,2,58.00,63
thorn,287,2,58.00,63
worthless,288,2,58.00,63
prosper,289,2,58.00,63
dawn,290,2,57.90,62
inflict,291,2,57.90,62
reap,292,2,57.90,62
rebellion,293,2,57.90,62
rebellious,294,2,57.90,62
statute,295,2,57.90,62
unfailing,296,2,57.90,62
armor,297,2,57.80,60
ash,298,2,57.80,60
fatherless,299,2,57.80,60
glorify,300,2,57.80,60
gracious,301,2,57.80,60
outer,302,2,57.80,60
allot,303,2,57.69,59
annals,304,2,57.69,59
basket,305,2,57.69,59
ceremonially,306,2,57.69,59
clay,307,2,57.69,59
descend,308,2,57.69,59
gatekeeper,309,2,57.69,59
gateway,310,2,57.69,59
persecute,311,2,57.69,59
resurrection,312,2,57.69,59
arrogant,313,2,57.58,57
corrupt,314,2,57.58,57
entrust,315,2,57.58,57
insult,316,2,57.58,57
palm,317,2,57.58,57
swallow,318,2,57.58,57
treasury,319,2,57.58,57
utter,320,2,57.58,57
avenge,321,2,57.47,56
companion,322,2,57.47,56
concubine,323,2,57.47,56
fasten,324,2,57.47,56
mold,325,2,57.47,56
shatter,326,2,57.47,56
spice,327,2,57.47,56
uncircumcised,328,2,57.47,56
awake,329,2,57.35,54
banquet,330,2,57.35,54
calamity,331,2,57.35,54
conceive,332,2,57.35,54
contempt,333,2,57.35,54
heavenly,334,2,57.35,54
lyre,335,2,57.35,54
overthrow,336,2,57.35,54
thief,337,2,57.35,54
toil,338,2,57.35,54
vain,339,2,57.35,54
weary,340,2,57.35,54
barley,341,2,57.23,53
blaze,342,2,57.23,53
dew,343,2,57.23,53
grieve,344,2,57.23,53
melt,345,2,57.23,53
prostitution,346,2,57.23,53
quarrel,347,2,57.23,53
snake,348,2,57.23,53
sorrow,349,2,57.23,53
afterward,350,2,57.11,51
aloud,351,2,57.11,51
conscience,352,2,57.11,51
devil,353,2,57.11,51
folly,354,2,57.11,51
harden,355,2,57.11,51
meaningless,356,2,57.11,51
sandal,357,2,57.11,51
shave,358,2,57.11,51
awesome,359,2,56.98,50
faint,360,2,56.98,50
lament,361,2,56.98,50
obedience,362,2,56.98,50
rope,363,2,56.98,50
slander,364,2,56.98,50
subdue,365,2,56.98,50
thirsty,366,2,56.98,50
uproot,367,2,56.98,50
vengeance,368,2,56.98,50
yarn,369,2,56.98,50
abundance,370,2,56.85,48
beloved,371,2,56.85,48
desecrate,372,2,56.85,48
horseman,373,2,56.85,48
hurl,374,2,56.85,48
invade,375,2,56.85,48
lame,376,2,56.85,48
majesty,377,2,56.85,48
merchant,378,2,56.85,48
overwhelm,379,2,56.85,48
perfume,380,2,56.85,48
prosperity,381,2,56.85,48
queen,382,2,56.85,48
relent,383,2,56.85,48
spy,384,2,56.85,48
abundant,385,2,56.72,47
bathe,386,2,56.72,47
grief,387,2,56.72,47
pierce,388,2,56.72,47
sore,389,2,56.72,47
tithe,390,2,56.72,47
bloodshed,391,2,56.58,46
captivity,392,2,56.58,46
cord,393,2,56.58,46
depart,394,2,56.58,46
dishonor,395,2,56.58,46
ordinance,396,2,56.58,46
prey,397,2,56.58,46
treaty,398,2,56.58,46
weave,399,2,56.58,46
withhold,400,2,56.58,46
bribe,401,2,56.44,44
cloth,402,2,56.44,44
commandment,403,2,56.44,44
detest,404,2,56.44,44
discern,405,2,56.44,44
firstfruit,406,2,56.44,44
fruitful,407,2,56.44,44
furnace,408,2,56.44,44
miracle,409,2,56.44,44
murderer,410,2,56.44,44
shrine,411,2,56.44,44
sinful,412,2,56.44,44
thanksgiving,413,2,56.44,44
triumph,414,2,56.44,44
trustworthy,415,2,56.44,44
acacia,416,2,56.29,43
eagle,417,2,56.29,43
grumble,418,2,56.29,43
pomegranate,419,2,56.29,43
ridicule,420,2,56.29,43
rob,421,2,56.29,43
vile,422,2,56.29,43
ambush,423,2,56.14,41
banish,424,2,56.14,41
besiege,425,2,56.14,41
conspire,426,2,56.14,41
deceit,427,2,56.14,41
dread,428,2,56.14,41
fragrant,429,2,56.14,41
hammer,430,2,56.14,41
overflow,431,2,56.14,41
waist,432,2,56.14,41
adorn,433,2,55.98,40
bake,434,2,55.98,40
bare,435,2,55.98,40
bride,436,2,55.98,40
cistern,437,2,55.98,40
forehead,438,2,55.98,40
hail,439,2,55.98,40
heir,440,2,55.98,40
owl,441,2,55.98,40
plow,442,2,55.98,40
precept,443,2,55.98,40
rim,444,2,55.98,40
scepter,445,2,55.98,40
seer,446,2,55.98,40
tribute,447,2,55.98,40
watchman,448,2,55.98,40
affliction,449,2,55.82,38
appall,450,2,55.82,38
asleep,451,2,55.82,38
captain,452,2,55.82,38
collector,453,2,55.82,38
continually,454,2,55.82,38
encamp,455,2,55.82,38
follower,456,2,55.82,38
fury,457,2,55.82,38
horde,458,2,55.82,38
jealous,459,2,55.82,38
jealousy,460,2,55.82,38
lust,461,2,55.82,38
midst,462,2,55.82,38
misery,463,2,55.82,38
plea,464,2,55.82,38
sabbath,465,2,55.82,38
transgression,466,2,55.82,38
uphold,467,2,55.82,38
wasteland,468,2,55.82,38
adversary,469,2,55.65,37
bridegroom,470,2,55.65,37
bud,471,2,55.65,37
deceitful,472,2,55.65,37
dedication,473,2,55.65,37
den,474,2,55.65,37
discharge,475,2,55.65,37
enthrone,476,2,55.65,37
envoy,477,2,55.65,37
forbid,478,2,55.65,37
furnish,479,2,55.65,37
immorality,480,2,55.65,37
leprosy,481,2,55.65,37
profane,482,2,55.65,37
splash,483,2,55.65,37
tread,484,2,55.65,37
alike,485,2,55.47,35
allotment,486,2,55.47,35
bearer,487,2,55.47,35
blossom,488,2,55.47,35
carcass,489,2,55.47,35
cart,490,2,55.47,35
centurion,491,2,55.47,35
citadel,492,2,55.47,35
conceal,493,2,55.47,35
contrary,494,2,55.47,35
devise,495,2,55.47,35
divination,496,2,55.47,35
eunuch,497,2,55.47,35
execute,498,2,55.47,35
freely,499,2,55.47,35
horror,500,2,55.47,35
iniquity,501,3,55.47,35
multiply,502,3,55.47,35
basin,503,3,55.29,34
blaspheme,504,3,55.29,34
blot,505,3,55.29,34
boil,506,3,55.29,34
breastpiece,507,3,55.29,34
flourish,508,3,55.29,34
goods,509,3,55.29,34
holiness,510,3,55.29,34
liar,511,3,55.29,34
ministry,512,3,55.29,34
mistreat,513,3,55.29,34
nest,514,3,55.29,34
oppressor,515,3,55.29,34
prescribe,516,3,55.29,34
ravine,517,3,55.29,34
refresh,518,3,55.29,34
serpent,519,3,55.29,34
spiritual,520,3,55.29,34
straw,521,3,55.29,34
swarm,522,3,55.29,34
vindicate,523,3,55.29,34
ascend,524,3,55.09,32
barren,525,3,55.09,32
childless,526,3,55.09,32
confront,527,3,55.09,32
demolish,528,3,55.09,32
envy,529,3,55.09,32
finely,530,3,55.09,32
flog,531,3,55.09,32
freewill,532,3,55.09,32
gladness,533,3,55.09,32
integrity,534,3,55.09,32
malice,535,3,55.09,32
muster,536,3,55.09,32
noon,537,3,55.09,32
oak,538,3,55.09,32
petition,539,3,55.09,32
redemption,540,3,55.09,32
reed,541,3,55.09,32
repentance,542,3,55.09,32
scorch,543,3,55.09,32
slavery,544,3,55.09,32
smash,545,3,55.09,32
swift,546,3,55.09,32
thigh,547,3,55.09,32
torment,548,3,55.09,32
veil,549,3,55.09,32
violate,550,3,55.09,32
alas,551,3,54.89,31
bitterly,552,3,54.89,31
blast,553,3,54.89,31
builder,554,3,54.89,31
censer,555,3,54.89,31
commend,556,3,54.89,31
confess,557,3,54.89,31
deprive,558,3,54.89,31
entice,559,3,54.89,31
furious,560,3,54.89,31
hardship,561,3,54.89,31
heed,562,3,54.89,31
kneel,563,3,54.89,31
loot,564,3,54.89,31
manna,565,3,54.89,31
raid,566,3,54.89,31
reproach,567,3,54.89,31
revere,568,3,54.89,31
rout,569,3,54.89,31
sack,570,3,54.89,31
severely,571,3,54.89,31
snatch,572,3,54.89,31
utterly,573,3,54.89,31
winepress,574,3,54.89,31
zeal,575,3,54.89,31
baptism,576,3,54.68,29
crave,577,3,54.68,29
facedown,578,3,54.68,29
mocker,579,3,54.68,29
stray,580,3,54.68,29
threshold,581,3,54.68,29
vanish,582,3,54.68,29
administrator,583,3,54.68,29
astonish,584,3,54.68,29
deliverance,585,3,54.68,29
devastate,586,3,54.68,29
dismay,587,3,54.68,29
earthquake,588,3,54.68,29
foothill,589,3,54.68,29
goodness,590,3,54.68,29
hoof,591,3,54.68,29
oppression,592,3,54.68,29
potter,593,3,54.68,29
proverb,594,3,54.68,29
amen,595,3,54.46,28
beam,596,3,54.46,28
beard,597,3,54.46,28
circumcision,598,3,54.46,28
courage,599,3,54.46,28
deaf,600,3,54.46,28
destroyer,601,3,54.46,28
dip,602,3,54.46,28
dishonest,603,3,54.46,28
disown,604,3,54.46,28
dominion,605,3,54.46,28
eager,606,3,54.46,28
fugitive,607,3,54.46,28
godless,608,3,54.46,28
grasp,609,3,54.46,28
graze,610,3,54.46,28
inhabit,611,3,54.46,28
joyful,612,3,54.46,28
juniper,613,3,54.46,28
lofty,614,3,54.46,28
memorial,615,3,54.46,28
merciful,616,3,54.46,28
overpower,617,3,54.46,28
parch,618,3,54.46,28
prudent,619,3,54.46,28
revelation,620,3,54.46,28
rider,621,3,54.46,28
ruthless,622,3,54.46,28
stagger,623,3,54.46,28
stiff,624,3,54.46,28
turban,625,3,54.46,28
ungodly,626,3,54.46,28
unjust,627,3,54.46,28
unpunished,628,3,54.46,28
abound,629,3,54.22,26
arrogance,630,3,54.22,26
awe,631,3,54.22,26
carve,632,3,54.22,26
chaff,633,3,54.22,26
cure,634,3,54.22,26
darken,635,3,54.22,26
discourage,636,3,54.22,26
engrave,637,3,54.22,26
falsely,638,3,54.22,26
gloat,639,3,54.22,26
guardian,640,3,54.22,26
hypocrite,641,3,54.22,26
impurity,642,3,54.22,26
jackal,643,3,54.22,26
kidney,644,3,54.22,26
lobe,645,3,54.22,26
meditate,646,3,54.22,26
mule,647,3,54.22,26
myrrh,648,3,54.22,26
outstretch,649,3,54.22,26
perverse,650,3,54.22,26
priesthood,651,3,54.22,26
purge,652,3,54.22,26
rouse,653,3,54.22,26
safely,654,3,54.22,26
spoil,655,3,54.22,26
taunt,656,3,54.22,26
tribal,657,3,54.22,26
uncleanness,658,3,54.22,26
victorious,659,3,54.22,26
wool,660,3,54.22,26
wrongdoing,661,3,54.22,26
ascent,662,3,53.97,25
banner,663,3,53.97,25
bitterness,664,3,53.97,25
brave,665,3,53.97,25
brier,666,3,53.97,25
burial,667,3,53.97,25
bush,668,3,53.97,25
census,669,3,53.97,25
contend,670,3,53.97,25
correction,671,3,53.97,25
craftsman,672,3,53.97,25
cymbal,673,3,53.97,25
daylight,674,3,53.97,25
decorate,675,3,53.97,25
designate,676,3,53.97,25
despair,677,3,53.97,25
doorway,678,3,53.97,25
drunkard,679,3,53.97,25
earthly,680,3,53.97,25
edict,681,3,53.97,25
fabric,682,3,53.97,25
fame,683,3,53.97,25
fatten,684,3,53.97,25
gazelle,685,3,53.97,25
lifetime,686,3,53.97,25
mat,687,3,53.97,25
organ,688,3,53.97,25
pardon,689,3,53.97,25
patience,690,3,53.97,25
prevail,691,3,53.97,25
pursuit,692,3,53.97,25
quench,693,3,53.97,25
ransom,694,3,53.97,25
resound,695,3,53.97,25
rubble,696,3,53.97,25
secretly,697,3,53.97,25
spit,698,3,53.97,25
sprout,699,3,53.97,25
storehouse,700,3,53.97,25
stubborn,701,3,53.97,25
tempt,702,3,53.97,25
thicket,703,3,53.97,25
timber,704,3,53.97,25
timbrel,705,3,53.97,25
tunic,706,3,53.97,25
unintentionally,707,3,53.97,25
useless,708,3,53.97,25
wineskin,709,3,53.97,25
afar,710,3,53.71,23
avenger,711,3,53.71,23
desolation,712,3,53.71,23
disobey,713,3,53.71,23
disperse,714,3,53.71,23
doom,715,3,53.71,23
downfall,716,3,53.71,23
fate,717,3,53.71,23
fertile,718,3,53.71,23
formerly,719,3,53.71,23
glean,720,3,53.71,23
grandson,721,3,53.71,23
greatness,722,3,53.71,23
harsh,723,3,53.71,23
heifer,724,3,53.71,23
mud,725,3,53.71,23
multitude,726,3,53.71,23
ordain,727,3,53.71,23
pagan,728,3,53.71,23
poison,729,3,53.71,23
predecessor,730,3,53.71,23
prostrate,731,3,53.71,23
renew,732,3,53.71,23
sanctify,733,3,53.71,23
swell,734,3,53.71,23
uncover,735,3,53.71,23
untie,736,3,53.71,23
vault,737,3,53.71,23
wholeheartedly,738,3,53.71,23
accuser,739,3,53.43,22
adulterous,740,3,53.43,22
await,741,3,53.43,22
ax,742,3,53.43,22
bolt,743,3,53.43,22
cling,744,3,53.43,22
colt,745,3,53.43,22
conquer,746,3,53.43,22
countryside,747,3,53.43,22
cruel,748,3,53.43,22
daybreak,749,3,53.43,22
deadly,750,3,53.43,22
decay,751,4,53.43,22
defy,752,4,53.43,22
disobedient,753,4,53.43,22
exclaim,754,4,53.43,22
exploit,755,4,53.43,22
fleet,756,4,53.43,22
foretell,757,4,53.43,22
genealogy,758,4,53.43,22
haughty,759,4,53.43,22
kindle,760,4,53.43,22
lily,761,4,53.43,22
lowly,762,4,53.43,22
magician,763,4,53.43,22
partiality,764,4,53.43,22
peg,765,4,53.43,22
rabbi,766,4,53.43,22
renown,767,4,53.43,22
restitution,768,4,53.43,22
reverence,769,4,53.43,22
roast,770,4,53.43,22
sash,771,4,53.43,22
scoff,772,4,53.43,22
sheaf,773,4,53.43,22
starry,774,4,53.43,22
sulfur,775,4,53.43,22
surrender,776,4,53.43,22
sway,777,4,53.43,22
tenant,778,4,53.43,22
uproar,779,4,53.43,22
vicinity,780,4,53.43,22
worm,781,4,53.43,22
archer,782,4,53.13,21
compassionate,783,4,53.13,21
crossbar,784,4,53.13,21
dash,785,4,53.13,21
deer,786,4,53.13,21
destine,787,4,53.13,21
displease,788,4,53.13,21
dragon,789,4,53.13,21
earnestly,790,4,53.13,21
enslave,791,4,53.13,21
fiery,792,4,53.13,21
forgiveness,793,4,53.13,21
fork,794,4,53.13,21
fountain,795,4,53.13,21
frog,796,4,53.13,21
gnash,797,4,53.13,21
godly,798,4,53.13,21
gorge,799,4,53.13,21
humility,800,4,53.13,21
impale,801,4,53.13,21
imperial,802,4,53.13,21
lap,803,4,53.13,21
ledge,804,4,53.13,21
liver,805,4,53.13,21
marketplace,806,4,53.13,21
marvelous,807,4,53.13,21
mislead,808,4,53.13,21
overseer,809,4,53.13,21
persecution,810,4,53.13,21
pervert,811,4,53.13,21
quake,812,4,53.13,21
ramp,813,4,53.13,21
refine,814,4,53.13,21
restrain,815,4,53.13,21
ripe,816,4,53.13,21
rooster,817,4,53.13,21
saddle,818,4,53.13,21
sharpen,819,4,53.13,21
sluggard,820,4,53.13,21
spite,821,4,53.13,21
thrust,822,4,53.13,21
torch,823,4,53.13,21
torrent,824,4,53.13,21
toss,825,4,53.13,21
twilight,826,4,53.13,21
unfaithfulness,827,4,53.13,21
viper,828,4,53.13,21
vomit,829,4,53.13,21
whirlwind,830,4,53.13,21
brick,831,4,52.81,19
cease,832,4,52.81,19
chew,833,4,52.81,19
cornerstone,834,4,52.81,19
courageous,835,4,52.81,19
covet,836,4,52.81,19
cub,837,4,52.81,19
deliverer,838,4,52.81,19
diviner,839,4,52.81,19
drench,840,4,52.81,19
durable,841,4,52.81,19
extol,842,4,52.81,19
footstool,843,4,52.81,19
forefather,844,4,52.81,19
fragrance,845,4,52.81,19
greed,846,4,52.81,19
helper,847,4,52.81,19
hostile,848,4,52.81,19
hostility,849,4,52.81,19
ivory,850,4,52.81,19
jewelry,851,4,52.81,19
majestic,852,4,52.81,19
mute,853,4,52.81,19
nostril,854,4,52.81,19
obedient,855,4,52.81,19
ordination,856,4,52.81,19
paralyze,857,4,52.81,19
provoke,858,4,52.81,19
satrap,859,4,52.81,19
seashore,860,4,52.81,19
shackle,861,4,52.81,19
shameful,862,4,52.81,19
sickle,863,4,52.81,19
sickness,864,4,52.81,19
storeroom,865,4,52.81,19
strife,866,4,52.81,19
successor,867,4,52.81,19
sunrise,868,4,52.81,19
thrive,869,4,52.81,19
toe,870,4,52.81,19
unbeliever,871,4,52.81,19
underfoot,872,4,52.81,19
unleavened,873,4,52.81,19
uplift,874,4,52.81,19
utensil,875,4,52.81,19
width,876,4,52.81,19
wolf,877,4,52.81,19
zealous,878,4,52.81,19
abhor,879,4,52.46,18
ablaze,880,4,52.46,18
atone,881,4,52.46,18
bestow,882,4,52.46,18
compel,883,4,52.46,18
confine,884,4,52.46,18
crow,885,4,52.46,18
cupbearer,886,4,52.46,18
dreadful,887,4,52.46,18
encircle,888,4,52.46,18
endurance,889,4,52.46,18
enlarge,890,4,52.46,18
ensnare,891,4,52.46,18
faithless,892,4,52.46,18
gloom,893,4,52.46,18
greedy,894,4,52.46,18
handful,895,4,52.46,18
handsome,896,4,52.46,18
harshly,897,4,52.46,18
haunt,898,4,52.46,18
helmet,899,4,52.46,18
highway,900,4,52.46,18
humiliate,901,4,52.46,18
hyssop,902,4,52.46,18
injustice,903,4,52.46,18
invoke,904,4,52.46,18
jewel,905,4,52.46,18
knit,906,4,52.46,18
lawful,907,4,52.46,18
millstone,908,4,52.46,18
obligate,909,4,52.46,18
obtain,910,4,52.46,18
onyx,911,4,52.46,18
ornament,912,4,52.46,18
perseverance,913,4,52.46,18
pigeon,914,4,52.46,18
priestly,915,4,52.46,18
prosperous,916,4,52.46,18
publicly,917,4,52.46,18
ravage,918,4,52.46,18
reconcile,919,4,52.46,18
revolt,920,4,52.46,18
rocky,921,4,52.46,18
sailor,922,4,52.46,18
scourge,923,4,52.46,18
senseless,924,4,52.46,18
shrivel,925,4,52.46,18
sincere,926,4,52.46,18
spacious,927,4,52.46,18
steward,928,4,52.46,18
surpass,929,4,52.46,18
throng,930,4,52.46,18
weed,931,4,52.46,18
worshiper,932,4,52.46,18
ancestral,933,4,52.08,16
strap,934,4,52.08,16
assassinate,935,4,52.08,16
sunset,936,4,52.08,16
awaken,937,4,52.08,16
thornbush,938,4,52.08,16
belly,939,4,52.08,16
unwilling,940,4,52.08,16
carpenter,941,4,52.08,16
upward,942,4,52.08,16
charioteer,943,4,52.08,16
valiant,944,4,52.08,16
clap,945,4,52.08,16
wick,946,4,52.08,16
conceit,947,4,52.08,16
writhe,948,4,52.08,16
crook,949,4,52.08,16
cud,950,4,52.08,16
denounce,951,4,52.08,16
deport,952,4,52.08,16
devotion,953,4,52.08,16
dough,954,4,52.08,16
downcast,955,4,52.08,16
dung,956,4,52.08,16
earring,957,4,52.08,16
erect,958,4,52.08,16
favoritism,959,4,52.08,16
fearful,960,4,52.08,16
fever,961,4,52.08,16
found,962,4,52.08,16
genealogical,963,4,52.08,16
generous,964,4,52.08,16
gladly,965,4,52.08,16
godliness,966,4,52.08,16
grind,967,4,52.08,16
grip,968,4,52.08,16
hem,969,4,52.08,16
idle,970,4,52.08,16
intent,971,4,52.08,16
lewdness,972,4,52.08,16
lick,973,4,52.08,16
loop,974,4,52.08,16
merchandise,975,4,52.08,16
midnight,976,4,52.08,16
moth,977,4,52.08,16
nail,978,4,52.08,16
overlook,979,4,52.08,16
prominent,980,4,52.08,16
purification,981,4,52.08,16
radiant,982,4,52.08,16
rash,983,4,52.08,16
raven,984,4,52.08,16
recline,985,4,52.08,16
revenge,986,4,52.08,16
riddle,987,4,52.08,16
robber,988,4,52.08,16
scorpion,989,4,52.08,16
scoundrel,990,4,52.08,16
sole,991,4,52.08,16
accusation,992,4,52.08,16
adulterer,993,4,52.08,16
agony,994,4,52.08,16
falsehood,995,4,51.67,15
esteem,996,4,51.67,15
immoral,997,4,51.67,15
idolatry,998,4,51.67,15
incite,999,4,51.67,15
blasphemy,1000,4,51.67,15
