word,total_occ,book_count,sample_sentence
ready,52,3,"If my hair would only change colour, here's a nice little crib all ready for me to step into.'"
usual,52,3,"""I should like balls infinitely better,"" she replied, ""if they were carried on in a different manner; but there is something insufferably tedious in the usual process of such a meeting."
inquiry,52,2,Her inquiries after her sister were not very favourably answered.
occur,51,3,I have already arranged what is to occur.
situation,51,2,"He did look at it, and into it, for half an hour; was pleased with the situation and the principal rooms, satisfied with what the owner said in its praise, and took it immediately."
everybody,49,3,"He was the proudest, most disagreeable man in the world, and everybody hoped that he would never come there again."
entirely,47,3,Happiness in marriage is entirely a matter of chance.
real,46,3,"By all that I have ever read, I am convinced that it is very common indeed; that human nature is particularly prone to it, and that there are very few of us who do not cherish a feeling of self-compla"
thousand,46,3,A single man of large fortune; four or five thousand a year.
merely,45,3,"Sir William and Lady Lucas are determined to go, merely on that account; for in general, you know, they visit no new comers."
oblige,44,3,"They attacked him in various ways, with barefaced questions, ingenious suppositions, and distant surmises; but he eluded the skill of them all; and they were at last obliged to accept the second-hand "
compliment,44,2,"I did not expect such a compliment."""
de,44,2,"--""My mind, however, is now  made up on the subject; for, having received ordination at Easter,  I have been so fortunate as to be distinguished by the patronage of  the Right Honourable Lady Catherin"
importance,43,2,"It had given him a disgust to his business and to his residence in a small market town; and, quitting them both, he had removed with his family to a house about a mile from Meryton, denominated from t"
ladyship,43,2,"--""My mind, however, is now  made up on the subject; for, having received ordination at Easter,  I have been so fortunate as to be distinguished by the patronage of  the Right Honourable Lady Catherin"
sister's,43,2,"""I want to know,"" said she, with a countenance no less smiling than her sister's, ""what you have learnt about Mr. Wickham."
company,42,3,"The gentlemen pronounced him to be a fine figure of a man, the ladies declared he was much handsomer than Mr. Bingley, and he was looked at with great admiration for about half the evening, till his m"
o'clock,41,3,"""There will call upon you to-night, at a quarter to eight o'clock,"" it said, ""a gentleman who desires to consult you upon a matter of the very deepest moment."
neighborhood,41,2,"However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as th"
depend,40,3,"""Depend upon it, my dear, that when there are twenty, I will visit them all."""
excellent,40,3,They were admirable things for the observer--excellent for drawing the veil from men's motives and actions.
important,40,3,"""This Godfrey Norton was evidently an important factor in the matter."
interesting,40,3,And this promises to be interesting.
hurry,39,3,"It was all very well to say ""Drink me,"" but the wise little Alice was not going to do _that_ in a hurry."
quick,39,3,"Indeed, apart from the nature of the investigation which my friend had on hand, there was something in his masterly grasp of a situation, and his keen, incisive reasoning, which made it a pleasure to "
exceedingly,39,2,"""I am exceedingly gratified,"" said Bingley, ""by your converting what my friend says into a compliment on the sweetness of my temper."
particularly,39,2,"You know how I detest it, unless I am particularly acquainted with my partner."
curiosity,38,3,"With a book, he was regardless of time; and on the present occasion he had a good deal of curiosity as to the event of an evening which had raised such splendid expectations."
whisper,38,3,"""I was half-dragged up to the altar, and before I knew where I was I found myself mumbling responses which were whispered in my ear, and vouching for things of which I knew nothing, and generally assi"
admire,38,2,Mrs. Bennet had seen her eldest daughter much admired by the Netherfield party.
self,38,2,"""_You_ began the evening well, Charlotte,"" said Mrs. Bennet, with civil self-command, to Miss Lucas."
arrive,37,3,The cab and the landau with their steaming horses were in front of the door when I arrived.
extraordinary,37,3,"He was still, as ever, deeply attracted by the study of crime, and occupied his immense faculties and extraordinary powers of observation in following out those clues, and clearing up those mysteries "
favor,37,3,"One cannot wonder that so very fine a young man, with family, fortune, everything in his favour, should think highly of himself."
invitation,37,2,_]] This was invitation enough.
relate,37,2,"She was therefore obliged to seek another branch of the subject, and related, with much bitterness of spirit, and some exaggeration, the shocking rudeness of Mr. Darcy."
hurried,36,3,I paid the man and hurried into the church.
refuse,36,3,"You cannot refuse to dance, I am sure, when so much beauty is before you."""
delight,35,3,You take delight in vexing me.
excuse,35,2,"""His pride,"" said Miss Lucas, ""does not offend _me_ so much as pride often does, because there is an excuse for it."
humor,35,2,"Lizzy is not a bit better than the others: and I am sure she is not half so handsome as Jane, nor half so good-humoured as Lydia."
information,35,2,"She was a woman of mean understanding, little information, and uncertain temper."
pause,34,3,"""Your friend performs delightfully,"" he continued, after a pause, on seeing Bingley join the group; ""and I doubt not that you are an adept in the science yourself, Mr. Darcy."""
quietly,34,3,"She lives quietly, sings at concerts, drives out at five every day, and returns at seven sharp for dinner."
spite,34,3,"Between him and Darcy there was a very steady friendship, in spite of a great opposition of character."
twice,34,3,"His rooms were brilliantly lit, and, even as I looked up, I saw his tall, spare figure pass twice in a dark silhouette against the blind."
purpose,33,3,"""_My_ overhearings were more to the purpose than _yours_, Eliza,"" said Charlotte."
frequently,33,2,"Mrs. Hurst sang with her sister; and while they were thus employed, Elizabeth could not help observing, as she turned over some music-books that lay on the instrument, how frequently Mr. Darcy's eyes "
intend,33,2,"He had always intended to visit him, though to the last always assuring his wife that he should not go; and till the evening after the visit was paid she had no knowledge of it."
absence,32,3,"The evening conversation, when they were all assembled, had lost much of its animation, and almost all its sense, by the absence of Jane and Elizabeth."
distance,32,3,"The village of Longbourn was only one mile from Meryton; a most convenient distance for the young ladies, who were usually tempted thither three or four times a week, to pay their duty to their aunt, "
instead,32,3,"The girls grieved over such a number of ladies; but were comforted the day before the ball by hearing that, instead of twelve, he had brought only six with him from London, his five sisters and a cous"
nearly,32,3,It is nearly five now.
quiet,32,3,"On the contrary, for a small street in a quiet neighbourhood, it was remarkably animated."
sleep,32,3,"I slept at Baker Street that night, and we were engaged upon our toast and coffee in the morning when the King of Bohemia rushed into the room."
disposition,32,2,"She told the story, however, with great spirit among her friends; for she had a lively, playful disposition, which delighted in anything ridiculous."
highly,32,2,Her report was highly favourable.
madam,32,2,"""You may depend upon it, madam,"" said Miss Bingley, with cold civility, ""that Miss Bennet shall receive every possible attention while she remains with us."""
objection,32,2,"""_You_ want to tell me, and I have no objection to hearing it."""
inquire,31,3,"So he inquired who she was, and got introduced, and asked her for the two next."
slowly,31,3,Holmes slowly reopened his eyes and looked impatiently at his gigantic client.
acknowledge,31,2,"Chapter I.] It is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife."
intention,31,2,"_]] On his approaching them soon afterwards, though without seeming to have any intention of speaking, Miss Lucas defied her friend to mention such a subject to him, which immediately provoking Elizab"
motive,31,2,"The distance is nothing, when one has a motive; only three miles."
interrupt,30,3,"I dare say the lace upon Mrs. Hurst's gown----"" Here she was interrupted again."
remarkable,30,3,"'Remarkable as being the scene of the death of Wallenstein, and for its numerous glass-factories and paper-mills.'"
conceal,30,2,"If a woman conceals her affection with the same skill from the object of it, she may lose the opportunity of fixing him; and it will then be but poor consolation to believe the world equally in the da"
considerable,30,2,"""Beyond the obvious facts that he has at some time done manual labour, that he takes snuff, that he is a Freemason, that he has been in China, and that he has done a considerable amount of writing lat"
obvious,30,2,"""Beyond the obvious facts that he has at some time done manual labour, that he takes snuff, that he is a Freemason, that he has been in China, and that he has done a considerable amount of writing lat"
affect,29,2,"how can it affect them?"""
perceive,29,2,"If _I_ can perceive her regard for him, he must be a simpleton indeed not to discover it too."""
avoid,28,3,"""It is a compliment which I never pay to any place if I can avoid it."""
generally,28,3,"It was generally evident, whenever they met, that he _did_ admire her; and to _her_ it was equally evident that Jane was yielding to the preference which she had begun to entertain for him from the fi"
simple,28,3,"""When I hear you give your reasons,"" I remarked, ""the thing always appears to me to be so ridiculously simple that I could easily do it myself, though at each successive instance of your reasoning I a"
john,28,2,"""Is Briony Lodge, Serpentine Avenue, St. John's Wood."""
anybody,27,2,You never see a fault in anybody.
concerned,27,2,"I cannot be otherwise than concerned at being the  means of injuring your amiable daughters, and beg leave to  apologize for it, as well as to assure you of my readiness to make  them every possible a"
habit,27,2,"To me, who knew his every mood and habit, his attitude and manner told their own story."
influence,27,2,"By Jane this attention was received with the greatest pleasure; but Elizabeth still saw superciliousness in their treatment of everybody, hardly excepting even her sister, and could not like them; tho"
directly,26,3,"""Then you would drink a great deal more than you ought,"" said Mrs. Bennet; ""and if I were to see you at it, I should take away your bottle directly."""
eagerly,26,3,"After a song or two, and before she could reply to the entreaties of several that she would sing again, she was eagerly succeeded at the instrument by her sister Mary, who having, in consequence of be"
england,26,3,"His dress was rich with a richness which would, in England, be looked upon as akin to bad taste."
hastily,26,3,"After a time she heard a little pattering of feet in the distance, and she hastily dried her eyes to see what was coming."
proceed,26,3,"""Will it not be advisable, before we proceed on this subject, to arrange with rather more precision the degree of importance which is to appertain to this request, as well as the degree of intimacy su"
complete,26,2,"My own complete happiness, and the home-centred interests which rise up around the man who first finds himself master of his own establishment, were sufficient to absorb all my attention, while Holmes"
describe,26,2,"_I_ never saw such capacity, and taste, and application, and elegance, as you describe, united."""
equally,26,2,"""If I can but see one of my daughters happily settled at Netherfield,"" said Mrs. Bennet to her husband, ""and all the others equally well married, I shall have nothing to wish for."""
especially,26,2,"I declare I do not know a more awful object than Darcy on particular occasions, and in particular places; at his own house especially, and of a Sunday evening, when he has nothing to do."""
finally,26,2,"From time to time I heard some vague account of his doings: of his summons to Odessa in the case of the Trepoff murder, of his clearing up of the singular tragedy of the Atkinson brothers at Trincomal"
recollect,26,2,"""He does not exactly recollect the circumstances, though he has heard them from Mr. Darcy more than once, but he believes that it was left to him _conditionally_ only."""
farther,25,3,"The first half hour was spent in piling up the fire, lest she should suffer from the change of room; and she removed, at his desire, to the other side of the fireplace, that she might be farther from "
neighbor,25,3,"They attacked him in various ways, with barefaced questions, ingenious suppositions, and distant surmises; but he eluded the skill of them all; and they were at last obliged to accept the second-hand "
readily,25,3,"The advice was followed readily, for the feverish symptoms increased, and her head ached acutely."
vanish,25,3,"With a nod he vanished into the bedroom, whence he emerged in five minutes tweed-suited and respectable, as of old."
charming,25,2,and his sisters are charming women.
favorite,25,2,How long has she been such a favourite?
stranger,25,2,He had rather hoped that all his wife's views on the stranger would be disappointed; but he soon found that he had a very different story to hear.
blame,24,3,"It is, in short, impossible for us to conjecture the causes or circumstances which may have alienated them, without actual blame on either side."""
explanation,24,3,"I tried to puzzle it out, but gave it up in despair and set the matter aside until night should bring an explanation."
invite,24,3,"He was at the same time haughty, reserved, and fastidious; and his manners, though well bred, were not inviting."
assurance,24,2,"She had high animal spirits, and a sort of natural self-consequence, which the attentions of the officers, to whom her uncle's good dinners and her own easy manners recommended her, had increased into"
aware,24,2,"Till the next morning, however, she was not aware of all the felicity of her contrivance."
evident,24,2,"It was generally evident, whenever they met, that he _did_ admire her; and to _her_ it was equally evident that Jane was yielding to the preference which she had begun to entertain for him from the fi"
pleasing,24,2,"""But I can assure you,"" she added, ""that Lizzy does not lose much by not suiting _his_ fancy; for he is a most disagreeable, horrid man, not at all worth pleasing."
deny,23,3,"""You excel so much in the dance, Miss Eliza, that it is cruel to deny me the happiness of seeing you; and though this gentleman dislikes the amusement in general, he can have no objection, I am sure, "
extremely,23,3,"He was quite young, wonderfully handsome, extremely agreeable, and, to crown the whole, he meant to be at the next assembly with a large party."
middle,23,3,"I went to my work as usual at ten o'clock, but the door was shut and locked, with a little square of cardboard hammered on to the middle of the panel with a tack."
occasionally,23,3,"Mr. Darcy danced only once with Mrs. Hurst and once with Miss Bingley, declined being introduced to any other lady, and spent the rest of the evening in walking about the room, speaking occasionally t"
standing,23,3,They were all three standing in a knot in front of the altar.
capable,23,2,"You could not have met with a person more capable of giving you certain information on that head than myself--for I have been connected with his family, in a particular manner, from my infancy."""
fortunate,23,2,"The ladies were somewhat more fortunate, for they had the advantage of ascertaining, from an upper window, that he wore a blue coat and rode a black horse."
james,23,2,"""Sarasate plays at the St. James's Hall this afternoon,"" he remarked."
observation,23,2,"Elizabeth listened in silence, but was not convinced: their behaviour at the assembly had not been calculated to please in general; and with more quickness of observation and less pliancy of temper th"
offended,22,3,"cried Alice again, for this time the Mouse was bristling all over, and she felt certain it must be really offended."
consideration,22,2,"I have heard you mention them with consideration these twenty years at least."""
contain,22,2,"Mrs. Bennet deigned not to make any reply; but, unable to contain herself, began scolding one of her daughters."
request,22,2,"Elizabeth, easy and unaffected, had been listened to with much more pleasure, though not playing half so well; and Mary, at the end of a long concerto, was glad to purchase praise and gratitude by Sco"
deeply,21,3,"He was still, as ever, deeply attracted by the study of crime, and occupied his immense faculties and extraordinary powers of observation in following out those clues, and clearing up those mysteries "
touch,21,3,"""I beg that you will not touch me with your filthy hands,"" remarked our prisoner as the handcuffs clattered upon his wrists."
unable,21,3,"Mrs. Bennet deigned not to make any reply; but, unable to contain herself, began scolding one of her daughters."
delightful,21,2,Nothing could be more delightful!
naturally,21,2,"The next morning, however, made an alteration; for in a quarter of an hour's _tête-à-tête_ with Mrs. Bennet before breakfast, a conversation beginning with his parsonage-house, and leading naturally t"
shortly,21,2,"Recovering himself, however, shortly, he turned to his partner, and said,-- ""Sir William's interruption has made me forget what we were talking of."""
actually,20,3,"It is very unlucky; but as I have actually paid the visit, we cannot escape the acquaintance now."""
evidently,20,3,"""This Godfrey Norton was evidently an important factor in the matter."
exclaim,20,3,"Kitty stared at him, and Lydia exclaimed."
fill,20,3,"I lent the ostlers a hand in rubbing down their horses, and received in exchange twopence, a glass of half-and-half, two fills of shag tobacco, and as much information as I could desire about Miss Adl"
ignorant,20,3,"""They have none of them much to recommend them,"" replied he: ""they are all silly and ignorant like other girls; but Lizzy has something more of quickness than her sisters."""
respectable,20,3,They were of a respectable family in the north of England; a circumstance more deeply impressed on their memories than that their brother's fortune and their own had been acquired by trade.
dearest,20,2,"Breakfast was scarcely over when a servant from Netherfield brought the following note for Elizabeth:--  /* NIND ""My dearest Lizzie, */  ""I find myself very unwell this morning, which, I suppose, is t"
intelligence,20,2,"They attacked him in various ways, with barefaced questions, ingenious suppositions, and distant surmises; but he eluded the skill of them all; and they were at last obliged to accept the second-hand "
interested,20,2,"By the way, since you are interested in these little problems, and since you are good enough to chronicle one or two of my trifling experiences, you may be interested in this."""
presence,20,2,But I see that the enemy's preparations have gone so far that we cannot risk the presence of a light.
deserve,19,3,"""I deserve neither such praise nor such censure,"" cried Elizabeth; ""I am _not_ a great reader, and I have pleasure in many things."""
instance,19,3,"He had not been long seated before he complimented Mrs. Bennet on having so fine a family of daughters, said he had heard much of their beauty, but that, in this instance, fame had fallen short of the"
seriously,19,3,"Many stared--many smiled; but no one looked more amused than Mr. Bennet himself, while his wife seriously commended Mr. Collins for having spoken so sensibly, and observed, in a half-whisper to Lady L"
shut,19,3,"Oh, how I wish I could shut up like a telescope!"
sooner,19,3,"But no sooner had he made it clear to himself and his friends that she had hardly a good feature in her face, than he began to find it was rendered uncommonly intelligent by the beautiful expression o"
unfortunate,19,3,It is exceedingly unfortunate that you should be a bachelor.'
cease,19,2,So accustomed was I to his invariable success that the very possibility of his failing had ceased to enter into my head.
dining,19,2,"""Dining out,"" said Mrs. Bennet; ""that is very unlucky."""
ease,19,2,"so much ease, with such perfect good breeding!"""
goodness,19,2,"""To Jane herself,"" she exclaimed, ""there could be no possibility of objection,--all loveliness and goodness as she is!"
misfortune,19,2,"""I beg you will not put it into Lizzy's head to be vexed by his ill-treatment, for he is such a disagreeable man that it would be quite a misfortune to be liked by him."
scotland,19,2,"""Watson, I think you know Mr. Jones, of Scotland Yard?"
aloud,18,3,"""It is from Miss Bingley,"" said Jane, and then read it aloud."
bent,18,3,"His face was bent downward, his shoulders bowed, his lips compressed, and the veins stood out like whipcord in his long, sinewy neck."
clearly,18,3,"Here I had heard what he had heard, I had seen what he had seen, and yet from his words it was evident that he saw clearly not only what had happened but what was about to happen, while to me the whol"
delay,18,3,"Allowing the case, however, to stand according to your representation, you must remember, Miss Bennet, that the friend who is supposed to desire his return to the house, and the delay of his plan, has"
earnestly,18,3,"Miss Bingley moved with alacrity to the pianoforte, and after a polite request that Elizabeth would lead the way, which the other as politely and more earnestly negatived, she seated herself."
footman,18,3,"Pig and Pepper For a minute or two she stood looking at the house, and wondering what to do next, when suddenly a footman in livery came running out of the wood--(she considered him to be a footman be"
put,18,3,Yet the matter was so delicate that I could not confide it to an agent without putting myself in his power.
example,18,2,"For example, you have frequently seen the steps which lead up from the hall to this room."""
human,18,2,I could tell you tales of cobbler's wax which would disgust you with human nature.'
mere,18,2,"""Had there been women in the house, I should have suspected a mere vulgar intrigue."
rejoice,18,2,"She felt it to be the probable consequence of her allusions to Mr. Wickham, and rejoiced in it."
thirty,18,2,"I am but thirty now."""
undoubtedly,18,2,"Bingley likes your sister undoubtedly; but he may never do more than like her, if she does not help him on."""
wooden,18,2,"""There was nothing in the office but a couple of wooden chairs and a deal table, behind which sat a small man with a head that was even redder than mine."
alive,17,3,"""And your mother is alive?"""
altogether,17,3,"And when the party entered the assembly-room, it consisted of only five altogether: Mr. Bingley, his two sisters, the husband of the eldest, and another young man."
anxiously,17,3,"She ate a little bit, and said anxiously to herself, ""Which way?"
gaze,17,3,"""I am Mr. Holmes,"" answered my companion, looking at her with a questioning and rather startled gaze."
nonsense,17,3,"Nonsense, how can you talk so!"
seldom,17,3,"But as no such delicacy restrained her mother, an hour seldom passed in which she did not talk of Bingley, express her impatience for his arrival, or even require Jane to confess that if he did not co"
earnest,17,2,"--""My mind, however, is now  made up on the subject; for, having received ordination at Easter,  I have been so fortunate as to be distinguished by the patronage of  the Right Honourable Lady Catherin"
envelope,17,2,"For a long time he remained there, turning over the leaves and dried sticks, gathering up what seemed to me to be dust into an envelope and examining with his lens not only the ground but even the bar"
expose,17,2,Darcy only smiled; and the general pause which ensued made Elizabeth tremble lest her mother should be exposing herself again.
heartily,17,2,"""That is capital,"" added her sister; and they both laughed heartily."
indifferent,17,2,"""Her indifferent state of health unhappily prevents her being in town; and by that means, as I told Lady Catherine myself one day, has deprived the British Court of its brightest ornament."
judgment,17,2,"Elizabeth listened in silence, but was not convinced: their behaviour at the assembly had not been calculated to please in general; and with more quickness of observation and less pliancy of temper th"
kent,17,2,"/* RIGHT ""Hunsford, near Westerham, Kent, _15th October_."
presume,17,2,"""He is still with you, I presume?"""
secrecy,17,2,"A promise of secrecy was of course very dutifully given, but it could not be kept without difficulty; for the curiosity excited by his long absence burst forth in such very direct questions on his ret"
carefully,16,3,"I carefully examined the writing, and the paper upon which it was written."
humble,16,3,"She had even condescended to advise him to marry as soon as he could, provided he chose with discretion; and had once paid him a visit in his humble parsonage, where she had perfectly approved all the"
reasonable,16,3,"It was reasonable, however, to hope that they would not continue long."
unpleasant,16,3,"When the dancing recommenced, however, and Darcy approached to claim her hand, Charlotte could not help cautioning her, in a whisper, not to be a simpleton, and allow her fancy for Wickham to make her"
accompany,16,2,"Mrs. Bennet, accompanied by her two youngest girls, reached Netherfield soon after the family breakfast."
delicacy,16,2,"After amusing himself some time with their curiosity, he thus explained:--""About a month ago I received this letter, and about a fortnight ago I answered it; for I thought it a case of some delicacy, "
entail,16,2,"[Illustration] Mr. Bennet's property consisted almost entirely in an estate of two thousand a year, which, unfortunately for his daughters, was entailed, in default of heirs male, on a distant relatio"
following,16,2,It was then disclosed in the following manner.
forgive,16,2,"""That is very true,"" replied Elizabeth, ""and I could easily forgive _his_ pride, if he had not mortified _mine_."""
jones,16,2,"On entering his room, I found Holmes in animated conversation with two men, one of whom I recognised as Peter Jones, the official police agent, while the other was a long, thin, sad-faced man, with a "
learnt,16,2,"Mary had heard herself mentioned to Miss Bingley as the most accomplished girl in the neighbourhood; and Catherine and Lydia had been fortunate enough to be never without partners, which was all that "
retain,16,2,"There are several people in the neighbourhood, however, and among them Miss Turner, the daughter of the neighbouring landowner, who believe in his innocence, and who have retained Lestrade, whom you m"
somewhat,16,2,"You have shown your relish for it by the enthusiasm which has prompted you to chronicle, and, if you will excuse my saying so, somewhat to embellish so many of my own little adventures."""
supply,16,2,"[Illustration] Mr. Bennet's property consisted almost entirely in an estate of two thousand a year, which, unfortunately for his daughters, was entailed, in default of heirs male, on a distant relatio"
thanks,16,2,No thanks to his gallantry for that.
meaning,15,3,"""What can be the meaning of that emphatic exclamation?"""
notion,15,3,"He paused in hopes of an answer: but his companion was not disposed to make any; and Elizabeth at that instant moving towards them, he was struck with the notion of doing a very gallant thing, and cal"
one,15,3,"I was then much surprised and interested on glancing down to observe that, though the boots which she was wearing were not unlike each other, they were really odd ones; the one having a slightly decor"
opposite,15,3,"Elizabeth, at work in the opposite corner, saw it all with great delight."
plainly,15,3,"To speak plainly, the matter implicates the great House of Ormstein, hereditary kings of Bohemia."""
precious,15,3,Now it was clear to me that our lady of to-day had nothing in the house more precious to her than what we are in quest of.
amid,15,2,"The swing of his nature took him from extreme languor to devouring energy; and, as I knew well, he was never so truly formidable as when, for days on end, he had been lounging in his armchair amid his"
beneath,15,2,"His brows were drawn into two hard black lines, while his eyes shone out from beneath them with a steely glitter."
informed,15,2,"I scarcely know any one who cannot do all this; and I am sure I never heard a young lady spoken of for the first time, without being informed that she was very accomplished."""
insist,15,2,"They insist also on  my seeing Mr. Jones--therefore do not be alarmed if you should hear  of his having been to me--and, excepting a sore throat and a  headache, there is not much the matter with me."
observing,15,2,"Observing his second daughter employed in trimming a hat, he suddenly addressed her with,-- ""I hope Mr. Bingley will like it, Lizzy."""
somebody,15,2,"But if _we_ do not venture, somebody else will; and after all, Mrs. Long and her nieces must stand their chance; and, therefore, as she will think it an act of kindness, if you decline the office, I w"
utter,15,2,"Elizabeth preserved as steady a silence as either Mrs. Hurst or Miss Bingley; and even Lydia was too much fatigued to utter more than the occasional exclamation of ""Lord, how tired I am!"""
asleep,14,3,"A Mad Tea-Party There was a table set out under a tree in front of the house, and the March Hare and the Hatter were having tea at it: a Dormouse was sitting between them, fast asleep, and the other t"
guinea,14,3,A hundred and fifty guineas apiece.
natured,14,3,In everything else she is as good-natured a girl as ever lived.
useful,14,3,"Vincent Spaulding seemed to know so much about it that I thought he might prove useful, so I just ordered him to put up the shutters for the day and to come right away with me."
amuse,14,2,"The two youngest of the family, Catherine and Lydia, were particularly frequent in these attentions: their minds were more vacant than their sisters', and when nothing better offered, a walk to Meryto"
announce,14,2,"Three gilt balls and a brown board with ""JABEZ WILSON"" in white letters, upon a corner house, announced the place where our red-headed client carried on his business."
